,object_id,Z,Z_err,EBV,SpecType,English Translation,split,target
count,3043,3043.0,0.0,3043.0,3043,3043,3043,3043.0
unique,3043,,,,16,3043,20,
top,Dornhoth_fervain_onodrim,,,,AGN,Trawn Folk (Dwarfs) + northern + Ents (people) ,split_02,
freq,1,,,,1786,1,170,
mean,,0.6706740883996056,,0.055546828787380875,,,,0.04863621426224121
std,,0.5392685566429827,,0.061348896267768654,,,,0.2151416825101922
min,,0.008771,,0.002,,,,0.0
25%,,0.31775,,0.02,,,,0.0
50%,,0.4818,,0.037,,,,0.0
75%,,0.8835500000000001,,0.069,,,,0.0
max,,4.924,,0.758,,,,1.0
